ID,label,split_1,split_2,split_3
DTXSID0026830,0,train,train,train
DTXSID6021327,0,train,train,train
DTXSID7026102,0,train,train,train
DTXSID2021816,0,train,test,test
DTXSID2048585,0,train,train,train
DTXSID2025632,0,train,val,train
DTXSID6048593,0,train,train,train
DTXSID0024341,0,train,train,train
DTXSID6025569,0,train,train,train
DTXSID3047681,0,train,train,train
DTXSID8022117,0,train,train,train
DTXSID1020647,0,train,test,test
DTXSID3021938,0,train,test,train
DTXSID3025706,0,train,val,train
DTXSID3044590,0,train,val,train
DTXSID5041772,0,train,train,train
DTXSID1045110,0,train,train,train
DTXSID3047843,1,train,train,train
DTXSID3027370,0,train,test,test
DTXSID3025590,0,train,train,train
DTXSID0026880,0,train,train,train
DTXSID7049055,0,train,train,train
DTXSID0046222,0,train,train,val
DTXSID3022586,0,train,train,test
DTXSID4047046,0,train,train,train
DTXSID7022912,0,train,train,train
DTXSID3048657,0,train,train,train
DTXSID8034956,0,train,train,train
DTXSID0041987,0,train,train,train
DTXSID6050386,0,train,train,train
DTXSID0020024,0,train,val,train
DTXSID1035288,0,train,train,train
DTXSID3047552,0,train,train,test
DTXSID6048208,0,train,train,train
DTXSID3027798,0,train,train,train
DTXSID5029136,0,train,train,train
DTXSID7020504,0,train,train,val
DTXSID6021456,0,train,train,train
DTXSID2046042,0,train,train,train
DTXSID4023385,0,train,train,train
DTXSID6045660,0,train,train,train
DTXSID4022529,0,train,val,train
DTXSID1021871,0,train,train,test
DTXSID0040622,0,train,train,train
DTXSID4036435,0,train,val,train
DTXSID6022187,0,train,train,test
DTXSID0044573,0,train,val,train
DTXSID3032412,0,train,train,val
DTXSID2044925,0,train,val,train
DTXSID2022254,0,train,train,train
DTXSID9022526,0,train,train,train
DTXSID0020810,0,train,train,train
DTXSID2021810,0,train,train,train
DTXSID7032688,0,train,train,train
DTXSID2047567,0,train,train,train
DTXSID7048617,0,train,train,test
DTXSID0045961,0,train,train,val
DTXSID7023516,0,train,val,test
DTXSID3024815,0,train,train,test
DTXSID8045563,0,train,train,train
DTXSID7021235,0,train,train,train
DTXSID3047683,0,train,val,test
DTXSID1049308,0,train,train,train
DTXSID8041610,0,train,test,train
DTXSID0024183,0,train,train,train
DTXSID0020494,0,train,train,train
DTXSID1042077,0,train,test,train
DTXSID0024345,0,train,train,train
DTXSID8044961,0,train,train,train
DTXSID4022369,0,train,train,train
DTXSID6045791,0,train,train,train
DTXSID9020796,0,train,train,train
DTXSID4021632,0,train,train,train
DTXSID7041910,0,train,train,train
DTXSID3046324,0,train,train,train
DTXSID8046296,0,train,train,train
DTXSID4046868,0,train,train,val
DTXSID0048680,0,train,val,test
DTXSID9033923,0,train,train,train
DTXSID9025166,0,train,train,train
