ID,label,split_1,split_2,split_3
DTXSID3044706,0,train,train,train
DTXSID2047305,0,train,train,train
DTXSID0045707,0,train,train,val
DTXSID7024956,1,train,train,train
DTXSID8042399,0,train,train,train
DTXSID5021679,1,train,train,train
DTXSID5021629,0,train,train,train
DTXSID7021158,0,train,train,test
DTXSID7024035,0,train,train,train
DTXSID0044997,1,train,train,test
DTXSID5045124,1,train,train,train
DTXSID4051536,0,train,train,test
DTXSID1045320,0,train,train,train
DTXSID6047602,0,train,val,train
DTXSID1022974,0,train,train,train
DTXSID5047451,0,train,train,train
DTXSID9047594,0,train,train,train
DTXSID5047879,0,train,train,train
DTXSID6057661,1,train,train,train
DTXSID7041467,0,train,val,train
DTXSID9040718,1,train,train,train
DTXSID3044704,0,train,train,test
DTXSID8034538,0,train,train,train
DTXSID4021680,1,train,train,train
DTXSID7042011,0,train,train,test
DTXSID0027014,0,train,test,train
DTXSID8027822,0,train,train,train
DTXSID5057709,0,train,test,train
DTXSID7023932,1,train,val,test
DTXSID3020413,0,train,train,train
DTXSID7057604,0,train,val,train
DTXSID3042219,0,train,train,train
DTXSID8025096,0,train,train,test
DTXSID4047121,0,train,train,train
DTXSID6047070,0,train,test,train
DTXSID9045500,0,train,train,train
DTXSID3024657,0,train,val,train
DTXSID9047881,1,train,train,train
DTXSID2057659,0,train,train,val
DTXSID0033960,0,train,train,train
DTXSID0044737,1,train,train,test
DTXSID2046919,1,train,train,train
DTXSID5023372,0,train,train,train
DTXSID3023685,1,train,train,train
DTXSID6047785,1,train,train,train
DTXSID2023307,0,train,train,train
DTXSID5046221,1,train,train,train
DTXSID6033247,1,train,train,train
DTXSID4032536,1,train,train,train
DTXSID0021387,0,train,train,train
DTXSID7020479,0,train,test,test
DTXSID2025347,0,train,train,train
DTXSID2051631,0,train,train,train
DTXSID1027479,1,train,train,val
DTXSID1026081,1,train,train,test
DTXSID7052319,1,train,train,train
DTXSID5048421,0,train,train,train
DTXSID6020309,0,train,train,train
DTXSID8040721,0,train,train,train
DTXSID0025363,0,train,train,test
DTXSID2023771,0,train,train,test
DTXSID2044210,0,train,train,train
DTXSID4020119,0,train,train,train
DTXSID9044742,1,train,train,train
