ID,label,split_1,split_2,split_3
DTXSID6035784,0,train,train,train
DTXSID4041070,0,train,train,test
DTXSID8042187,0,train,train,train
DTXSID2049264,0,train,val,train
DTXSID7044718,0,train,test,train
DTXSID3026148,0,train,test,train
DTXSID9021390,0,train,train,train
DTXSID4021717,0,train,train,train
DTXSID0049022,0,train,train,train
DTXSID3047970,0,train,val,train
DTXSID8045195,0,train,test,test
DTXSID1041425,0,train,train,train
DTXSID2044892,0,train,train,train
DTXSID4024145,0,train,train,test
DTXSID2022549,0,train,train,train
DTXSID1047528,0,train,train,train
DTXSID0032655,0,train,train,val
DTXSID0022432,0,train,train,train
DTXSID5022801,0,train,train,test
DTXSID8025466,0,train,train,train
DTXSID0041698,0,train,train,train
DTXSID7041336,0,train,val,val
DTXSID2042191,0,train,train,train
DTXSID4041232,0,train,test,train
DTXSID0045125,0,train,test,train
DTXSID3021148,0,train,train,train
DTXSID6021030,0,train,val,train
DTXSID7020182,0,train,test,train
DTXSID2032556,0,train,train,train
DTXSID4020290,0,train,train,train
DTXSID2025634,0,train,train,train
DTXSID0045709,0,train,train,train
DTXSID6044985,0,train,train,train
DTXSID8024866,1,train,train,train
DTXSID6020014,0,train,train,train
DTXSID7024661,0,train,train,test
DTXSID3023974,0,train,val,train
DTXSID0021385,0,train,train,train
DTXSID0023616,0,train,train,train
DTXSID1032278,0,train,train,train
DTXSID1041502,1,train,train,train
DTXSID7049055,0,train,train,train
DTXSID2023690,0,train,train,train
DTXSID7049211,0,train,train,val
DTXSID6044981,0,train,train,train
DTXSID6020064,0,train,train,train
DTXSID3045805,0,train,train,val
DTXSID1020859,0,train,train,test
DTXSID4042208,0,train,train,train
DTXSID3042219,0,train,train,train
DTXSID7022172,0,train,train,train
DTXSID7042061,0,train,train,train
DTXSID8042137,0,train,train,test
DTXSID6020303,0,train,val,train
DTXSID7025429,0,train,train,train
DTXSID6045878,0,train,train,train
DTXSID9046443,0,train,train,train
DTXSID8035186,0,train,train,train
DTXSID9022520,0,train,train,train
DTXSID6045084,0,train,train,train
DTXSID1021031,0,train,train,train
DTXSID1046681,0,train,train,val
DTXSID6041719,0,train,train,train
DTXSID2023488,0,train,train,train
DTXSID6038877,0,train,train,train
DTXSID2020898,0,train,test,train
DTXSID0027721,0,train,val,train
DTXSID3020047,0,train,test,test
DTXSID2025501,0,train,train,train
DTXSID9047542,0,train,train,train
DTXSID4020119,0,train,train,test
DTXSID5048186,0,train,train,train
DTXSID0022010,0,train,train,train
DTXSID6029670,0,train,train,train
DTXSID0045175,0,train,train,train
DTXSID1045291,0,train,train,train
DTXSID2049052,0,train,train,train
DTXSID3026641,0,train,train,train
DTXSID3022160,0,train,train,val
DTXSID9044617,0,train,test,train
DTXSID0034223,0,train,train,train
DTXSID3022584,0,train,train,train
DTXSID0047088,0,train,test,train
DTXSID4024931,0,train,train,val
DTXSID7020211,0,train,train,train
DTXSID9036438,0,train,train,train
DTXSID2044399,0,train,train,train
DTXSID1023607,0,train,train,train
DTXSID4023094,0,train,train,train
DTXSID1040740,0,train,train,train
DTXSID4025242,0,train,train,train
DTXSID9020958,0,train,train,train
DTXSID4048802,0,train,val,train
DTXSID4022810,0,train,train,train
DTXSID1021902,0,train,test,val
DTXSID9044746,0,train,train,train
DTXSID0032520,0,train,test,test
DTXSID3023687,0,train,train,test
DTXSID8045937,0,train,train,train
DTXSID9023540,0,train,val,train
DTXSID2022753,0,train,train,train
DTXSID5023586,0,train,test,test
DTXSID8025040,0,train,train,train
DTXSID9021843,0,train,train,train
DTXSID7046677,0,train,train,train
DTXSID1044722,0,train,train,train
DTXSID8047890,0,train,train,train
DTXSID9020372,0,train,train,test
DTXSID0049238,0,train,train,val
DTXSID5020231,0,train,train,test
DTXSID7048580,0,train,train,train
DTXSID0027143,0,train,train,train
DTXSID3023502,0,train,train,train
DTXSID2021604,0,train,train,train
DTXSID1030317,0,train,train,train
DTXSID7046889,0,train,train,train
DTXSID4047963,0,train,train,test
DTXSID7023271,0,train,test,train
DTXSID5046277,0,train,val,test
DTXSID1027134,0,train,train,train
DTXSID9045425,0,train,train,test
DTXSID4044454,0,train,train,train
DTXSID7021998,0,train,train,train
DTXSID1030319,0,train,test,train
DTXSID3045198,0,train,train,train
DTXSID4046602,0,train,train,train
DTXSID4047200,0,train,train,train
DTXSID9040001,0,train,train,train
DTXSID4020587,0,train,train,train
DTXSID2032344,0,train,train,val
DTXSID5033098,0,train,train,train
DTXSID0047618,0,train,train,train
DTXSID8023636,0,train,train,train
DTXSID7026609,0,train,val,train
DTXSID8048650,0,train,train,test
DTXSID3033276,0,train,test,train
DTXSID5023588,0,train,train,train
DTXSID6020771,0,train,train,train
DTXSID4041997,0,train,train,val
DTXSID7045576,0,train,train,train
DTXSID9045508,0,train,train,train
DTXSID6041507,0,train,val,train
DTXSID0047165,0,train,train,val
DTXSID5021253,0,train,train,train
DTXSID7025423,0,train,train,train
DTXSID3023764,0,train,train,train
DTXSID8025599,1,train,train,train
DTXSID2057817,0,train,train,val
DTXSID9025451,0,train,train,train
DTXSID5057628,0,train,train,test
DTXSID1020308,0,train,train,train
DTXSID6025355,0,train,test,train
DTXSID2020341,0,train,test,train
DTXSID2025892,0,train,train,test
DTXSID4049036,0,train,train,val
DTXSID9057898,0,train,train,train
DTXSID2032631,0,train,train,train
DTXSID1027768,0,train,train,train
DTXSID8027452,0,train,train,train
DTXSID4044535,0,train,train,train
DTXSID6048836,0,train,train,train
DTXSID6026799,0,train,train,train
DTXSID3044754,0,train,train,train
DTXSID0020363,0,train,test,train
DTXSID2020761,0,train,train,train
DTXSID6025014,0,train,val,train
DTXSID3025178,0,train,val,train
DTXSID6048834,0,train,train,train
DTXSID1027211,0,train,val,test
DTXSID9045899,0,train,train,train
DTXSID7024956,0,train,test,train
DTXSID1020982,0,train,train,train
DTXSID9025403,0,train,train,test
DTXSID4045420,0,train,train,val
DTXSID8041452,0,train,train,train
DTXSID1041897,1,train,train,train
DTXSID8024781,0,train,val,train
DTXSID6057663,0,train,train,train
DTXSID7023699,0,train,train,test
DTXSID9044534,0,train,train,train
DTXSID3044590,0,train,train,train
DTXSID5049316,0,train,train,train
DTXSID5048841,0,train,train,test
DTXSID8020626,0,train,train,train
DTXSID4048513,1,train,train,train
